INFO:root:-----------------------------------Start of the new Session at Mon Oct  8 14:28:35 2018-------------------------------
DEBUG:root:0,1001,received,transaction,2301 
DEBUG:root:0, 1001, broadcasting, data, 2301
DEBUG:root:1,1002,received,transaction,2301 
DEBUG:root:1, 1002, broadcasting, data, 2301
DEBUG:root:4,1000,received,transaction,2301 
DEBUG:root:4, 1000, broadcasting, data, 2301
DEBUG:root:10, 1000,Appended, Transaction, 2302
DEBUG:root:10, 1000, broadcasting, data, 2302
DEBUG:root:14,1001,received,transaction,2302 
DEBUG:root:14, 1001, broadcasting, data, 2302
DEBUG:root:14,1003,received,transaction,2302 
DEBUG:root:14, 1003, broadcasting, data, 2302
DEBUG:root:14,1002,received,transaction,2302 
DEBUG:root:14, 1002, broadcasting, data, 2302
DEBUG:root:20, 1002,Appended, Transaction, 2303
DEBUG:root:20, 1002, broadcasting, data, 2303
DEBUG:root:21,1003,received,transaction,2303 
DEBUG:root:21, 1003, broadcasting, data, 2303
DEBUG:root:21,1001,received,transaction,2303 
DEBUG:root:21, 1001, broadcasting, data, 2303
DEBUG:root:24,1000,received,transaction,2303 
DEBUG:root:24, 1000, broadcasting, data, 2303
DEBUG:root:30, 1000,Appended, Transaction, 2304
DEBUG:root:30, 1000, broadcasting, data, 2304
DEBUG:root:31, 1000, Created, block, 99901
INFO:root:No of blocks in node 1000 is 1
DEBUG:root:31, 1000, broadcasting, data, 99901
DEBUG:root:34,1001,received,transaction,2304 
DEBUG:root:34, 1001, broadcasting, data, 2304
DEBUG:root:34,1003,received,transaction,2304 
DEBUG:root:34, 1003, broadcasting, data, 2304
DEBUG:root:34,1002,received,transaction,2304 
DEBUG:root:34, 1002, broadcasting, data, 2304
DEBUG:root:35, 1001, broadcasting, data, 99901
DEBUG:root:35,1001, received, block, 99901
DEBUG:root:35,1001, interrupted, block, 99901 
INFO:root:No of blocks in node 1001 is 1
DEBUG:root:35, 1003, broadcasting, data, 99901
DEBUG:root:35,1003, received, block, 99901
DEBUG:root:35,1003, interrupted, block, 99901 
INFO:root:No of blocks in node 1003 is 1
DEBUG:root:35, 1002, broadcasting, data, 99901
DEBUG:root:35,1002, received, block, 99901
DEBUG:root:35,1002, interrupted, block, 99901 
INFO:root:No of blocks in node 1002 is 1
DEBUG:root:41, 1001,Appended, Transaction, 2305
DEBUG:root:41, 1001, broadcasting, data, 2305
DEBUG:root:41,1003,received,transaction,2305 
DEBUG:root:41, 1003, broadcasting, data, 2305
DEBUG:root:42,1002,received,transaction,2305 
DEBUG:root:42, 1002, broadcasting, data, 2305
DEBUG:root:45,1000,received,transaction,2305 
DEBUG:root:45, 1000, broadcasting, data, 2305
DEBUG:root:52, 1000,Appended, Transaction, 2306
DEBUG:root:52, 1000, broadcasting, data, 2306
DEBUG:root:56,1001,received,transaction,2306 
DEBUG:root:56, 1001, broadcasting, data, 2306
DEBUG:root:56,1003,received,transaction,2306 
DEBUG:root:56, 1003, broadcasting, data, 2306
DEBUG:root:56,1002,received,transaction,2306 
DEBUG:root:56, 1002, broadcasting, data, 2306
DEBUG:root:62, 1001,Appended, Transaction, 2307
DEBUG:root:62, 1001, broadcasting, data, 2307
DEBUG:root:62,1003,received,transaction,2307 
DEBUG:root:62, 1003, broadcasting, data, 2307
DEBUG:root:63, 1001, Created, block, 99902
INFO:root:No of blocks in node 1001 is 2
DEBUG:root:63, 1001, broadcasting, data, 99902
DEBUG:root:63, 1003, Created, block, 99903
INFO:root:No of blocks in node 1003 is 2
DEBUG:root:63, 1003, broadcasting, data, 99903
DEBUG:root:63, 1003, broadcasting, data, 99902
DEBUG:root:63,1003, received, block, 99902
DEBUG:root:63,1003, interrupted, block, 99902 
INFO:root:No of blocks in node 1003 is 3
DEBUG:root:63, 1001, broadcasting, data, 99903
DEBUG:root:63,1001, received, block, 99903
DEBUG:root:63,1001, interrupted, block, 99903 
INFO:root:No of blocks in node 1001 is 3
DEBUG:root:63,1002,received,transaction,2307 
DEBUG:root:63, 1002, broadcasting, data, 2307
DEBUG:root:64, 1002, broadcasting, data, 99903
DEBUG:root:64,1002, received, block, 99903
DEBUG:root:64,1002, interrupted, block, 99903 
INFO:root:No of blocks in node 1002 is 2
DEBUG:root:64, 1002, broadcasting, data, 99902
DEBUG:root:64,1002, received, block, 99902
DEBUG:root:64,1002, interrupted, block, 99902 
INFO:root:No of blocks in node 1002 is 3
DEBUG:root:66,1000,received,transaction,2307 
DEBUG:root:66, 1000, broadcasting, data, 2307
DEBUG:root:67, 1000, broadcasting, data, 99902
DEBUG:root:67,1000, received, block, 99902
DEBUG:root:67,1000, interrupted, block, 99902 
INFO:root:No of blocks in node 1000 is 2
DEBUG:root:67, 1000, broadcasting, data, 99903
DEBUG:root:67,1000, received, block, 99903
DEBUG:root:67,1000, interrupted, block, 99903 
INFO:root:No of blocks in node 1000 is 3
DEBUG:root:72, 1003,Appended, Transaction, 2308
DEBUG:root:72, 1003, broadcasting, data, 2308
DEBUG:root:72,1001,received,transaction,2308 
DEBUG:root:72, 1001, broadcasting, data, 2308
DEBUG:root:73,1002,received,transaction,2308 
DEBUG:root:73, 1002, broadcasting, data, 2308
DEBUG:root:76,1000,received,transaction,2308 
DEBUG:root:76, 1000, broadcasting, data, 2308
DEBUG:root:81, 1000,Appended, Transaction, 2309
DEBUG:root:81, 1000, broadcasting, data, 2309
DEBUG:root:85,1001,received,transaction,2309 
DEBUG:root:85, 1001, broadcasting, data, 2309
DEBUG:root:85,1003,received,transaction,2309 
DEBUG:root:85, 1003, broadcasting, data, 2309
DEBUG:root:85,1002,received,transaction,2309 
DEBUG:root:85, 1002, broadcasting, data, 2309
DEBUG:root:92, 1002,Appended, Transaction, 2310
DEBUG:root:92, 1002, broadcasting, data, 2310
DEBUG:root:93,1003,received,transaction,2310 
DEBUG:root:93, 1003, broadcasting, data, 2310
DEBUG:root:93,1001,received,transaction,2310 
DEBUG:root:93, 1001, broadcasting, data, 2310
DEBUG:root:96,1000,received,transaction,2310 
DEBUG:root:96, 1000, broadcasting, data, 2310
DEBUG:root:101, 1002,Appended, Transaction, 2311
DEBUG:root:101, 1002, broadcasting, data, 2311
DEBUG:root:102, 1002, Created, block, 99904
INFO:root:No of blocks in node 1002 is 4
DEBUG:root:102, 1002, broadcasting, data, 99904
DEBUG:root:102,1003,received,transaction,2311 
DEBUG:root:102, 1003, broadcasting, data, 2311
DEBUG:root:102,1001,received,transaction,2311 
